{'text': '좋아 아 오카 회식은 잘 즐기다 능강', 'start': 16.68, 'duration': 10.16}
{'text': '반갑소 반갑소 아이고 울기도 반갑소', 'start': 21.439, 'duration': 10.521}
{'text': '반갑소 안녕하시 계', 'start': 26.84, 'duration': 5.12}
{'text': '아', 'start': 50.399, 'duration': 3.0}
{'text': '살려주시오', 'start': 53.8, 'duration': 3.0}
{'text': '살려주시오', 'start': 58.92, 'duration': 3.0}
{'text': '아 평민이야 오카다 오카 오늘도 아주', 'start': 63.119, 'duration': 5.04}
{'text': '고냥 땡땡 부원 네크 해 아 오바', 'start': 65.799, 'duration': 5.64}
{'text': '보야 반가워 아직 얼굴을 보여주지', 'start': 68.159, 'duration': 6.0}
{'text': '않았는데 무슨 안녕이야 안녕이야', 'start': 71.439, 'duration': 7.64}
{'text': '오늘도 가보 아우리 소원이도 반가워', 'start': 74.159, 'duration': 7.761}
{'text': '버려', 'start': 79.079, 'duration': 6.201}
{'text': '반가워 살려주', 'start': 81.92, 'duration': 5.519}
{'text': '시계시계', 'start': 85.28, 'duration': 4.799}
{'text': '어어 500 드디어 돌아왔구나 데', 'start': 87.439, 'duration': 7.201}
{'text': '살이 실하네 아이 돌아와 버렸지 안녕', 'start': 90.079, 'duration': 7.801}
{'text': '안녕 반가워', 'start': 94.64, 'duration': 6.6}
{'text': '시계이 오늘도가 왔구나가 와버렸어 아', 'start': 97.88, 'duration': 6.68}
{'text': '우리 고미도 안녕하고 간호 오지 마도', 'start': 101.24, 'duration': 6.199}
{'text': '22개월 구독', 'start': 104.56, 'duration': 5.519}
{'text': '고마워', 'start': 107.439, 'duration': 8.68}
{'text': '아 아우 반가워 버려 시게 시게이 어', 'start': 110.079, 'duration': 10.441}
{'text': '다들 왔구나 어 그래 그래', 'start': 116.119, 'duration': 7.761}
{'text': '음 반가우', 'start': 120.52, 'duration': 3.36}
{'text': '시게시게 왔구나 왔구나 반가 백미 아', 'start': 127.959, 'duration': 7.64}
{'text': '반갑습니다 안녕하세요 예 어 다들', 'start': 132.16, 'duration': 6.12}
{'text': '반가 오늘도 얼굴이 한데 기 좋다 형', 'start': 135.599, 'duration': 9.121}
{'text': '이렇게 가자 어 들아 들아 어 좋와요', 'start': 138.28, 'duration': 10.48}
{'text': '좋와요 오카오카가가', 'start': 144.72, 'duration': 8.96}
{'text': '꿀꿀꿀꿀 가버려 시시 어 빛나는 부도', 'start': 148.76, 'duration': 7.68}
{'text': '반가워 오파오파 반가우이 오늘 끝까지', 'start': 153.68, 'duration': 4.04}
{'text': '못 보는데 나 빼고 공돌리기 하지', 'start': 156.44, 'duration': 3.96}
{'text': '말라라 아 당남 반가워 오가 오가', 'start': 157.72, 'duration': 6.96}
{'text': '오늘도 수고했어 아 우리 니나', 'start': 160.4, 'duration': 4.28}
{'text': '고워 술냄시 술은 별로 안 먹었어요', 'start': 165.48, 'duration': 7.64}
{'text': '예 좀 피곤해서 그래요', 'start': 169.68, 'duration': 6.44}
{'text': '어', 'start': 173.12, 'duration': 3.0}
{'text': '아 아 공 님이 어디 갔다가 거 청', 'start': 177.64, 'duration': 5.679}
{'text': '보고 싶었다고도 재밌게 보자고요 아', 'start': 181.48, 'duration': 5.6}
{'text': '옥이야 반가워 먹을 때 옴 밥 먹고', 'start': 183.319, 'duration': 6.401}
{'text': '왔는데 형님 착석 착석 펀치펀치', 'start': 187.08, 'duration': 5.439}
{'text': '어퍼컷 로우킥 뒤돌려차기 된장 바르기', 'start': 189.72, 'duration': 6.72}
{'text': '아가 뭐야 마 어 아 반가워요', 'start': 192.519, 'duration': 6.44}
{'text': '안녕하세요 그래서 오늘도 짤방 하는', 'start': 196.44, 'duration': 6.079}
{'text': '거야 오늘도 짤방이 나 삐질 거 하고', 'start': 198.959, 'duration': 4.64}
{'text': '싶은 대로', 'start': 202.519, 'duration': 5.121}
{'text': '아 아 피곤하다', 'start': 203.599, 'duration': 8.081}
{'text': '어 아', 'start': 207.64, 'duration': 4.04}
